B,avg_cost,avg_score,pool_size,pool
0.00030978888808884706,0.0002287198791666667,0.9541666666666666,8,GLM-Z1-9B-0414|Intern-S1-mini|Llama-3.1-8B-Instruct|MiniCPM4.1-8B|NVIDIA-Nemotron-Nano-9B-v2|Qwen2.5-Coder-7B-Instruct|deepseek-v3-0324|qwen3-235b-a22b-2507
0.0004680318616332271,0.0002287198791666667,0.9541666666666666,8,GLM-Z1-9B-0414|Intern-S1-mini|Llama-3.1-8B-Instruct|MiniCPM4.1-8B|NVIDIA-Nemotron-Nano-9B-v2|Qwen2.5-Coder-7B-Instruct|deepseek-v3-0324|qwen3-235b-a22b-2507
0.0007071067811865475,0.0007067438791666667,0.9624999999999999,8,GLM-Z1-9B-0414|Intern-S1-mini|Llama-3.1-8B-Instruct|MiniCPM4.1-8B|deepseek-v3-0324|kimi-k2-0905|qwen3-235b-a22b-2507|qwen3-235b-a22b-thinking-2507
0.0010683033378437485,0.0010329562541666667,0.9708333333333332,8,GLM-Z1-9B-0414|Intern-S1-mini|Llama-3.1-8B-Instruct|MiniCPM4.1-8B|deepseek-v3-0324|kimi-k2-0905|qwen3-235b-a22b-2507|qwen3-235b-a22b-thinking-2507
0.0016140023713716953,0.0016121922958333332,0.9708333333333332,8,GLM-Z1-9B-0414|Intern-S1-mini|Llama-3.1-8B-Instruct|MiniCPM4.1-8B|deepseek-v3-0324|kimi-k2-0905|qwen3-235b-a22b-2507|qwen3-235b-a22b-thinking-2507
0.002438449420228684,0.002438045016666667,0.9791666666666665,8,GLM-Z1-9B-0414|Intern-S1-mini|Llama-3.1-8B-Instruct|deepseek-v3-0324|gemini-2.5-flash|glm-4.6|kimi-k2-0905|qwen3-235b-a22b-thinking-2507
0.0036840314986403863,0.0036839510416666666,0.9833333333333332,8,GLM-Z1-9B-0414|Llama-3.1-8B-UltraMedical|MiniCPM4.1-8B|gemini-2.5-flash|glm-4.6|gpt-5|kimi-k2-0905|qwen3-235b-a22b-thinking-2507
0.005565868199022027,0.005164529791666667,0.9833333333333332,8,GLM-Z1-9B-0414|Llama-3.1-8B-UltraMedical|MiniCPM4.1-8B|gemini-2.5-flash|glm-4.6|gpt-5|kimi-k2-0905|qwen3-235b-a22b-thinking-2507
0.008408964152537146,0.008408733541666666,0.9833333333333332,8,GLM-Z1-9B-0414|Llama-3.1-8B-UltraMedical|MiniCPM4.1-8B|cogito-v1-preview-llama-8B|gemini-2.5-flash|glm-4.6|gpt-5|kimi-k2-0905
0.012704339303449413,0.012705003541666664,0.9833333333333332,8,DeepHermes-3-Llama-3-8B-Preview|Llama-3.1-8B-UltraMedical|gemini-2.5-flash|gemini-2.5-pro|glm-4-9b-chat|glm-4.6|gpt-5|qwen3-235b-a22b-thinking-2507
0.019193831036664843,0.009711235625,0.9833333333333332,8,GLM-Z1-9B-0414|Llama-3.1-8B-UltraMedical|MiniCPM4.1-8B|gemini-2.5-flash|glm-4.6|gpt-5|kimi-k2-0905|qwen3-235b-a22b-thinking-2507
0.028998214001102113,0.009711235625,0.9833333333333332,8,GLM-Z1-9B-0414|Llama-3.1-8B-UltraMedical|MiniCPM4.1-8B|gemini-2.5-flash|glm-4.6|gpt-5|kimi-k2-0905|qwen3-235b-a22b-thinking-2507
0.04381076470077285,0.013823640208333331,0.9833333333333332,8,DeepSeek-R1-Distill-Qwen-7B|GLM-Z1-9B-0414|Llama-3.1-8B-Instruct|OpenThinker3-7B|gemini-2.5-flash|glm-4.6|gpt-5|kimi-k2-0905
0.06618970063444377,0.013823640208333331,0.9833333333333332,8,DeepSeek-R1-Distill-Qwen-7B|GLM-Z1-9B-0414|Llama-3.1-8B-Instruct|OpenThinker3-7B|gemini-2.5-flash|glm-4.6|gpt-5|kimi-k2-0905
0.1,0.08671561662499999,0.9833333333333332,8,Llama-3.1-8B-UltraMedical|OpenThinker3-7B|gemini-2.5-flash|gemini-2.5-pro|glm-4.6|gpt-5|intern-s1|qwen3-235b-a22b-thinking-2507
